pull,timestamp,windows,risk_mean,risks,attack_ratio
0,20:30:38,71,0.6000000000000001,0.54;0.46;0.68;0.64;0.68,0.14084507042253522
0,20:31:18,71,0.6000000000000001,0.54;0.46;0.68;0.64;0.68,0.14084507042253522
0,20:33:18,265,0.45999999999999996,0.56;0.44;0.50;0.42;0.38,0.2
1,20:33:32,17,0.8480000000000001,0.82;0.84;0.86;0.86;0.86,0.7058823529411765
2,20:33:37,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
3,20:33:41,3,0.0,0.00;0.00;0.00;0.00;0.00,1.0
0,20:35:28,265,0.45599999999999996,0.54;0.44;0.50;0.42;0.38,0.2
1,20:36:19,17,0.852,0.82;0.84;0.86;0.88;0.86,0.7058823529411765
2,20:36:56,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
3,20:37:33,3,0.0,0.00;0.00;0.00;0.00;0.00,1.0
4,20:38:11,4,0.86,0.88;0.88;0.88;0.88;0.78,0.75
5,20:38:59,329,0.45199999999999996,0.50;0.46;0.44;0.42;0.44,0.16717325227963525
6,20:39:36,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
7,20:40:14,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
8,20:40:51,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
9,20:41:29,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
10,20:42:06,4,0.8880000000000001,0.92;0.92;0.92;0.92;0.76,0.75
11,20:42:43,6,0.5640000000000001,0.62;0.56;0.52;0.54;0.58,0.6666666666666666
12,20:43:36,257,0.556,0.62;0.54;0.56;0.52;0.54,0.22957198443579765
13,20:44:27,16,0.8560000000000001,0.86;0.84;0.88;0.82;0.88,0.8125
14,20:45:12,244,0.648,0.76;0.62;0.62;0.62;0.62,0.22131147540983606
15,20:45:49,4,0.8879999999999999,0.94;0.96;0.94;0.86;0.74,0.75
16,20:46:41,237,0.6080000000000001,0.62;0.56;0.64;0.58;0.64,0.24472573839662448
17,20:47:32,19,0.86,0.86;0.90;0.88;0.78;0.88,0.6842105263157895
18,20:48:17,244,0.6000000000000001,0.66;0.54;0.60;0.60;0.60,0.22131147540983606
19,20:48:54,4,0.8879999999999999,0.94;0.96;0.94;0.86;0.74,0.75
20,20:49:49,548,0.096,0.12;0.06;0.12;0.06;0.12,0.012773722627737226
21,20:50:42,334,0.18,0.18;0.18;0.18;0.18;0.18,0.020958083832335328
22,20:51:30,534,0.18,0.18;0.18;0.18;0.18;0.18,0.0056179775280898875
23,20:52:24,337,0.14400000000000002,0.16;0.12;0.16;0.12;0.16,0.020771513353115726
24,20:53:16,321,0.508,0.52;0.56;0.52;0.42;0.52,0.1806853582554517
25,20:54:08,342,0.196,0.22;0.22;0.18;0.18;0.18,0.02046783625730994
26,20:54:45,6,0.548,0.60;0.56;0.48;0.54;0.56,0.6666666666666666
27,20:55:36,17,0.968,0.96;1.00;0.96;0.96;0.96,0.8235294117647058
28,20:56:23,314,0.084,0.10;0.06;0.10;0.06;0.10,0.009554140127388535
29,20:57:00,6,0.544,0.62;0.56;0.42;0.54;0.58,0.6666666666666666
30,20:57:53,487,0.10800000000000001,0.14;0.06;0.14;0.06;0.14,0.014373716632443531
31,20:58:37,11,0.992,0.98;1.00;1.00;0.98;1.00,0.8181818181818182
32,20:59:26,397,0.12,0.12;0.12;0.12;0.12;0.12,0.007556675062972292
33,21:00:03,6,0.592,0.72;0.66;0.50;0.50;0.58,0.6666666666666666
34,21:00:55,244,0.524,0.54;0.52;0.52;0.52;0.52,0.24180327868852458
35,21:01:42,274,0.5800000000000001,0.50;0.64;0.56;0.56;0.64,0.20072992700729927
36,21:02:27,246,0.584,0.64;0.58;0.64;0.58;0.48,0.21951219512195122
37,21:03:19,23,0.488,0.50;0.52;0.44;0.54;0.44,0.6086956521739131
38,21:04:12,239,0.604,0.62;0.60;0.60;0.60;0.60,0.2384937238493724
39,21:04:49,4,0.9280000000000002,0.92;0.92;0.92;0.92;0.96,0.75
40,21:05:33,12,0.9879999999999999,0.98;0.98;1.00;0.98;1.00,0.9166666666666666
41,21:06:23,17,0.992,1.00;1.00;0.96;1.00;1.00,0.8235294117647058
42,21:07:07,87,0.396,0.44;0.46;0.40;0.32;0.36,0.5402298850574713
43,21:07:44,4,0.9039999999999999,0.94;0.94;0.94;0.94;0.76,0.75
